APT,Origin,TTPs
APT32,Vietnam,"T1550.002,T1036,T1059.007,T1047,T1072,T1570,T1564.004,T1552.002,T1055,T1216.001,T1566.001,T1135,T1033,T1571,T1082,T1583.001,T1012,T1027.010,T1059.003,T1048.003,T1574.001,T1566.002,T1598.003,T1087.001,T1059.001,T1003.001,T1046,T1608.004,T1041,T1036.004,T1003,T1078.003,T1589,T1070.006,T1189,T1218.011,T1059,T1112,T1071.003,T1560,T1204.001,T1071.001,T1036.005,T1070.004,T1070.001,T1027.011,T1105,T1053.005,T1036.003,T1543.003,T1608.001,T1222.002,T1569.002,T1018,T1218.005,T1083,T1059.005,T1588.002,T1021.002,T1550.003,T1583.006,T1505.003,T1564.001,T1016,T1027.016,T1049,T1564.003,T1027.013,T1056.001,T1589.002,T1218.010,T1068,T1585.001,T1137,T1203,T1204.002,T1547.001,T1102"
BRONZE BUTLER,China,"T1140,T1005,T1007,T1070.004,T1059.006,T1566.001,T1036.005,T1113,T1036,T1588.002,T1548.002,T1059.005,T1132.001,T1518,T1071.001,T1039,T1124,T1189,T1574.001,T1562.001,T1003.001,T1203,T1018,T1560.001,T1053.002,T1102.001,T1053.005,T1080,T1204.002,T1027.001,T1547.001,T1059.001,T1059.003,T1105,T1550.003,T1573.001,T1027.003,T1087.002,T1083,T1036.002"
POLONIUM,Lebanon,"T1567.002,T1102.002,T1090,T1588.002,T1199,T1583.006,T1078"
APT5,China,"T1059.001,T1136.001,T1070.006,T1021.001,T1654,T1583.005,T1562.006,T1074.001,T1554,T1056.001,T1078.004,T1560.001,T1003.001,T1003.002,T1070.004,T1098.007,T1057,T1070,T1053.003,T1059.003,T1021.004,T1055,T1505.003,T1049,T1078.002,T1036.005,T1070.003,T1083,T1190"
BackdoorDiplomacy,China,"T1027,T1505.003,T1190,T1588.002,T1036.005,T1055.001,T1105,T1074.001,T1046,T1049,T1120,T1095,T1574.001,T1588.001,T1036.004"
Kimsuky,North Korea,"T1005,T1587.001,T1583,T1021.001,T1585.002,T1566,T1204.002,T1040,T1566.002,T1539,T1588.002,T1078.003,T1140,T1608.001,T1105,T1587,T1567.002,T1598,T1553.002,T1036.004,T1102.002,T1204.001,T1534,T1190,T1593.001,T1585,T1589.003,T1218.011,T1564.002,T1176.001,T1070.004,T1219.002,T1583.004,T1620,T1111,T1594,T1059.003,T1583.001,T1012,T1591,T1071.001,T1585.001,T1657,T1136.001,T1007,T1586.002,T1560.003,T1070.006,T1598.003,T1596,T1550.002,T1557,T1518.001,T1218.005,T1041,T1185,T1133,T1082,T1584.001,T1589.002,T1059.007,T1656,T1027,T1074.001,T1071.003,T1056.001,T1027.002,T1552.001,T1102.001,T1560.001,T1016,T1555.003,T1546.001,T1566.001,T1057,T1055,T1113,T1112,T1059.001,T1562.004,T1588.005,T1218.010,T1547.001,T1562.001,T1543.003,T1583.006,T1593,T1083,T1564.003,T1053.005,T1036.005,T1593.002,T1055.012,T1588.003,T1114.003,T1071.002,T1003.001,T1205,T1059.005,T1098.007,T1059.006,T1505.003,T1114.002"
Leviathan,China,"T1567.002,T1595.002,T1102.003,T1047,T1021.004,T1105,T1547.001,T1027.013,T1589.001,T1003.001,T1586.001,T1090.003,T1027.001,T1583.001,T1585.002,T1566.002,T1189,T1546.003,T1027.003,T1585.001,T1059.001,T1547.009,T1055.001,T1566.001,T1584.004,T1203,T1059.005,T1078,T1553.002,T1559.002,T1587.004,T1197,T1074.001,T1204.002,T1140,T1074.002,T1534,T1190,T1218.010,T1041,T1505.003,T1021.001,T1584.008,T1027.015,T1560,T1572,T1204.001,T1133,T1003,T1586.002"
Storm-1811,Unknown,"T1585.003,T1074.001,T1667,T1547.001,T1583.001,T1036.005,T1588.002,T1219.002,T1059.001,T1059.003,T1140,T1656,T1036.010,T1056,T1574.001,T1204.002,T1566.004,T1027.013,T1105,T1570,T1021.004,T1486,T1036,T1482,T1566.003,T1566.002,T1087.002,T1033,T1048.002,T1222.001,T1021.002"
Ajax Security Team,Iran,"T1056.001,T1566.003,T1566.001,T1204.002,T1555.003,T1105"
Akira,Unknown,"T1567.002,T1213.002,T1531,T1482,T1036.005,T1078,T1558,T1018,T1021.001,T1562.001,T1059.001,T1657,T1486,T1133,T1027.001,T1219,T1560.001"
